cafe_id,cafe_image
334,https://drive.google.com/uc?id=1cVw5NKUSvtEF7lp1b1n752zxyXWTuYsx
335,https://drive.google.com/uc?id=1Lxv9vWGSBQbAHPqU1tV8hU8nZHCLk0ia
336,https://drive.google.com/uc?id=17DI87_feBaSy2XrSY07NwAc868UfyPx9
339,https://drive.google.com/uc?id=1X64WZvQqxWB-Q-Dqp60TIICPWLwr-A38
340,https://drive.google.com/uc?id=1JJnSIiLoruLE02PQGN_cUCvvxDRqtew0
341,https://drive.google.com/uc?id=15b_kcvuFqkUTUfj8YeX07pMulNJh7LAo
342,https://drive.google.com/uc?id=1u5g1zmajMpF-QXPoqJYUWa5JpiEyMgh8
343,https://drive.google.com/uc?id=1OCOKY3FFdKU80qY3PnivsutW9m0FZ3Et
344,https://drive.google.com/uc?id=12yh6kteX6DKJhuEQZHiPDbdIZlMA5eJa
345,https://drive.google.com/uc?id=1u4PxY_L5_5FLmqCqqAyTYGSOlpSv-Hpi
346,https://drive.google.com/uc?id=1ywpQeiCDzyxEIZrAD4kWIKTF4tARjgLL
347,https://drive.google.com/uc?id=1E4oGT8NMSTjCXsqNp7SrXu-34bh_mA1e
348,https://drive.google.com/uc?id=1aNMmLQ7CG474hwkBj6_3kioDWoptWMMd
349,https://drive.google.com/uc?id=10Qjiik-Rb_APLhvvgw1Gt60xWcqUDBOI
351,https://drive.google.com/uc?id=1DU3_KxdJykiQJRpnjfXeoM_u4_MPzhrH
352,https://drive.google.com/uc?id=1hdtmJj3R98g_J0KasWqIYLDUOdkw5rqt
353,https://drive.google.com/uc?id=1QF7wkMgvBrZfAZt3rWTiTEsC7cjSfpSw
354,https://drive.google.com/uc?id=1tulu_TWQi_ooJkafBGbxmkGbR0_hpS1g
355,https://drive.google.com/uc?id=1qKE0aQSshXq3AXYijpHF8Gx57i-iWDtB
357,https://drive.google.com/uc?id=1sWOE2wQHBoAsSDGE4N7aXaLc1vqPlDct
358,https://drive.google.com/uc?id=1Cp-txIdIO-3yHHFvw-vlygmMYPWIc3At
359,https://drive.google.com/uc?id=15dAlPNHpPYzjHH5sclhACPs5LDPwODn-
360,https://drive.google.com/uc?id=18HBR7ThpVGjzObmISebQUltgkFK-ONli
361,https://drive.google.com/uc?id=1lkMK_0LgW4bMDmaHfZ6bZRTJQJhZxOY6
362,https://drive.google.com/uc?id=1T5LciXagfnjSnfbmrdHHMxp6GrVfBUZy
363,https://drive.google.com/uc?id=1tm38TFLgc4rCeU4g32x4Z--zN8GXIAV6
364,https://drive.google.com/uc?id=18cwExMJhJKNQTKGB3zNQZUEunqAPcdqo
365,https://drive.google.com/uc?id=1kNstNXAETewtPTgFhsS2tMx11VIokPB4
366,https://drive.google.com/uc?id=1QvlE_ho_KC6rcDHZjwXvVMSVyJKi2Vlw
367,https://drive.google.com/uc?id=1z0RtOG8weKKVOaSmKhWBDtfywxhibLda
369,https://drive.google.com/uc?id=1KJnD7Vp1R6LoH8eFHfHEcwZrfPURTbHv
370,https://drive.google.com/uc?id=1CLOL0ktMbzwEfJPvsFE3PcD3RFiReer4
372,https://drive.google.com/uc?id=1SPvLExvDjKZyBdFiNUW23bxsLmfMzEZL
373,https://drive.google.com/uc?id=1rxGaksSq6qxyC1wagHPav_8G_0KSL91_
374,https://drive.google.com/uc?id=1ci5sowj26fMC3ua3OBVdTjC3TjNRRrRu
375,https://drive.google.com/uc?id=1-5Wthx3yB5LS2bTusynIM7BTJB854HmY
377,https://drive.google.com/uc?id=1wPSXyGwaCUimHD9f8EkdnYbjmE3a5X6q
378,https://drive.google.com/uc?id=1dhZgnbk9_mUtUSuCK1I43NmlBynxtwQY
379,https://drive.google.com/uc?id=1k6kvnhJAXcUsMfQXBvr9d3OopY18CJKL
380,https://drive.google.com/uc?id=10qLThTfk2-L6HppvtLcto2XdQQ9zF1-d
381,https://drive.google.com/uc?id=17KoaClYWKlUk4jxKJEVdY_WqsKxxYI4k
382,https://drive.google.com/uc?id=1rExr4972K6zzuOeV6sUSnuDz7v2HvYdx
386,https://drive.google.com/uc?id=1WzMbWeM3Hud7RKe4bPODUSH94_QXdP8a
387,https://drive.google.com/uc?id=1Ev3C6JdR_s_SqLvVRarRM1ThRlUipOZb
